"","nr","alg","argument","set","scaled","FM","AR"
"343",343,"spectral","9","z3",FALSE,0.680500342021642,0.528905087903494
"344",344,"genie","0.1","atom",FALSE,1,1
"345",345,"genie","0.1","chainlink",FALSE,1,1
"346",346,"genie","0.1","engytime",FALSE,0.906475361890197,0.812417278543569
"347",347,"genie","0.1","hepta",FALSE,1,1
"348",348,"genie","0.1","lsun",FALSE,1,1
"349",349,"genie","0.1","target",FALSE,0.596735602802479,0.363081423528448
"350",350,"genie","0.1","tetra",FALSE,1,1
"351",351,"genie","0.1","twodiamonds",FALSE,0.987547970762765,0.975125122351754
"352",352,"genie","0.1","wingnut",FALSE,1,1
"353",353,"genie","0.1","dense",FALSE,0.980004059577927,0.960200080403878
"354",354,"genie","0.1","fuzzyx",FALSE,0.719707941404217,0.644260464405894
"355",355,"genie","0.1","line",FALSE,0.601873369114867,0.0191756963361229
"356",356,"genie","0.1","parabolic",FALSE,0.90704698391206,0.813418507363336
"357",357,"genie","0.1","ring",FALSE,1,1
"358",358,"genie","0.1","zigzag",FALSE,1,1
"359",359,"genie","0.1","by_voivodeship",FALSE,0.569880540783576,0.530129811825319
"360",360,"genie","0.1","pizza1",FALSE,1,1
"361",361,"genie","0.1","pizza2",FALSE,1,1
"362",362,"genie","0.1","simple_agglomerations1",FALSE,0.86509016236954,0.827645277759441
"363",363,"genie","0.1","simple_agglomerations2",FALSE,0.844380019317702,0.765024300654023
"364",364,"genie","0.1","simple_agglomerations3",FALSE,0.834672116892356,0.805223961060233
"365",365,"genie","0.1","iris",FALSE,0.923434163272061,0.885792100198963
"366",366,"genie","0.1","iris5",FALSE,0.763541981596539,0.593773465026281
"367",367,"genie","0.1","square",FALSE,1,1
"368",368,"genie","0.1","a1",FALSE,0.940246200963202,0.937117791981308
"369",369,"genie","0.1","a2",FALSE,0.95051232652685,0.949065004627083
"370",370,"genie","0.1","a3",FALSE,0.958210485174315,0.957362659772278
"371",371,"genie","0.1","aggregation",FALSE,0.582137037457481,0.477583913173563
"372",372,"genie","0.1","compound",FALSE,0.637812349150775,0.532505570639453
"373",373,"genie","0.1","d31",FALSE,0.937398165771794,0.935331001407343
"374",374,"genie","0.1","flame",FALSE,1,1
"375",375,"genie","0.1","jain",FALSE,0.592371921369343,0.0441934219231851
"376",376,"genie","0.1","pathbased",FALSE,0.751088497419812,0.613272308050801
"377",377,"genie","0.1","r15",FALSE,0.986584668833494,0.985650095985955
"378",378,"genie","0.1","s1",FALSE,0.988793343809604,0.987993465874293
"379",379,"genie","0.1","s2",FALSE,0.920886855009393,0.915229034538748
"380",380,"genie","0.1","s3",FALSE,0.708080807007537,0.686906780839714
"381",381,"genie","0.1","s4",FALSE,0.644436973857052,0.618803957212595
"382",382,"genie","0.1","spiral",FALSE,1,1
"383",383,"genie","0.1","unbalance",FALSE,0.689354764170447,0.568794688197932
